
[2019-07-08 18:31:59.945] 062500	SILVER REACTOR:,	0.044727
[2019-07-08 18:32:53.054] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:53.558] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:54.058] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:54.562] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:55.062] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:55.567] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:56.071] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:56.568] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:57.072] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.045117
[2019-07-08 18:32:57.576] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.045117
[2019-07-08 18:32:58.076] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:58.579] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:59.085] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:32:59.584] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:00.088] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:00.592] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:01.092] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:01.594] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:02.095] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:02.597] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:03.101] ORANGE REACTOR:,	0.062891	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:03.601] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:04.105] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:04.610] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:05.108] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:05.612] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:06.116] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:06.616] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:07.120] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:07.620] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:08.123] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:08.627] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:09.127] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:09.631] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:10.135] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:10.633] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:11.140] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:11.641] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:12.141] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:12.645] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:13.145] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:13.649] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:14.152] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:14.654] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:15.154] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:15.658] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:16.158] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:16.662] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:17.168] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:17.665] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:18.169] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:18.669] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:19.173] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:19.679] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:20.177] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:20.683] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:21.187] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.045117
[2019-07-08 18:33:21.687] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:22.188] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:22.688] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:23.193] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:23.697] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:24.197] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:24.701] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:25.202] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:25.704] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:26.207] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:26.709] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:27.209] ORANGE REACTOR:,	0.063086	SILVER REACTOR:,	0.044922
[2019-07-08 18:33:27.713] ORANGE REACTOR:,	0.063281	SILVER REACTOR:,	0.044922
